objectid,site,from,to,description,subject,location,latitude,longitude,bibliography
demo_001,Ardstraw,575,599,"An early Irish ecclesiastical site, purportedly founded by St.Éogan in the late 6th CE. According to his Vita Éogan studied at Clones and Whithorn, before founding Ardstraw in his later life.",church;,"Ireland, County Tyrone, Strabane",46.725562,-117.009633,
demo_002,Uley Shrine,-100,599,,pre-roman; roman; post-roman; ,"England, Gloucestershire, Uley",47.66432,-117.428031,"McCarty, M., (2015), Chapter 4.2, Religious dedications, in The Oxford Handbook of Roman Sculpture
Smith, A., (2008), The Fate of Pagan Temples in South-East Britain, in Ritual Landsacpes of South-East Britain
Sparey-Green, (1987)
Woodward, Leach, (1993), The Uley Shrines: Excavation of a Ritual Complex on West Hill, Uley, Gloucestershire
Cleary, S., (2015), The ‘end of the gods' in late Roman Britain"
demo_003,Uley Shrine,-100,599,,pre-roman; roman; post-roman; ,"England, Gloucestershire, Uley",47.66432,-117.428031,"McCarty, M., (2015), Chapter 4.2, Religious dedications, in The Oxford Handbook of Roman Sculpture
Smith, A., (2008), The Fate of Pagan Temples in South-East Britain, in Ritual Landsacpes of South-East Britain
Sparey-Green, (1987)
Woodward, Leach, (1993), The Uley Shrines: Excavation of a Ritual Complex on West Hill, Uley, Gloucestershire
Cleary, S., (2015), The ‘end of the gods' in late Roman Britain"
demo_004,Uley Shrine,-100,599,,pre-roman; roman; post-roman; ,"England, Gloucestershire, Uley",47.66432,-117.428031,"McCarty, M., (2015), Chapter 4.2, Religious dedications, in The Oxford Handbook of Roman Sculpture
Smith, A., (2008), The Fate of Pagan Temples in South-East Britain, in Ritual Landsacpes of South-East Britain
Sparey-Green, (1987)
Woodward, Leach, (1993), The Uley Shrines: Excavation of a Ritual Complex on West Hill, Uley, Gloucestershire
Cleary, S., (2015), The ‘end of the gods' in late Roman Britain"
demo_005,Uley Shrine,-100,599,,pre-roman; roman; post-roman; ,"England, Gloucestershire, Uley",47.66432,-117.428031,"McCarty, M., (2015), Chapter 4.2, Religious dedications, in The Oxford Handbook of Roman Sculpture
Smith, A., (2008), The Fate of Pagan Temples in South-East Britain, in Ritual Landsacpes of South-East Britain
Sparey-Green, (1987)
Woodward, Leach, (1993), The Uley Shrines: Excavation of a Ritual Complex on West Hill, Uley, Gloucestershire
Cleary, S., (2015), The ‘end of the gods' in late Roman Britain"
demo_006,Uley Shrine,-100,599,,pre-roman; roman; post-roman; ,"England, Gloucestershire, Uley",47.66432,-117.428031,"McCarty, M., (2015), Chapter 4.2, Religious dedications, in The Oxford Handbook of Roman Sculpture
Smith, A., (2008), The Fate of Pagan Temples in South-East Britain, in Ritual Landsacpes of South-East Britain
Sparey-Green, (1987)
Woodward, Leach, (1993), The Uley Shrines: Excavation of a Ritual Complex on West Hill, Uley, Gloucestershire
Cleary, S., (2015), The ‘end of the gods' in late Roman Britain"
demo_007,Uley Shrine,-100,599,,pre-roman; roman; post-roman; ,"England, Gloucestershire, Uley",47.66432,-117.428031,"McCarty, M., (2015), Chapter 4.2, Religious dedications, in The Oxford Handbook of Roman Sculpture
Smith, A., (2008), The Fate of Pagan Temples in South-East Britain, in Ritual Landsacpes of South-East Britain
Sparey-Green, (1987)
Woodward, Leach, (1993), The Uley Shrines: Excavation of a Ritual Complex on West Hill, Uley, Gloucestershire
Cleary, S., (2015), The ‘end of the gods' in late Roman Britain"
demo_002,Uley Shrine,-100,599,,pre-roman; roman; post-roman; ,"England, Gloucestershire, Uley",47.66432,-117.428031,"McCarty, M., (2015), Chapter 4.2, Religious dedications, in The Oxford Handbook of Roman Sculpture
Smith, A., (2008), The Fate of Pagan Temples in South-East Britain, in Ritual Landsacpes of South-East Britain
Sparey-Green, (1987)
Woodward, Leach, (1993), The Uley Shrines: Excavation of a Ritual Complex on West Hill, Uley, Gloucestershire
Cleary, S., (2015), The ‘end of the gods' in late Roman Britain"
demo_002,Uley Shrine,-100,599,,pre-roman; roman; post-roman; ,"England, Gloucestershire, Uley",47.66432,-117.428031,"McCarty, M., (2015), Chapter 4.2, Religious dedications, in The Oxford Handbook of Roman Sculpture
Smith, A., (2008), The Fate of Pagan Temples in South-East Britain, in Ritual Landsacpes of South-East Britain
Sparey-Green, (1987)
Woodward, Leach, (1993), The Uley Shrines: Excavation of a Ritual Complex on West Hill, Uley, Gloucestershire
Cleary, S., (2015), The ‘end of the gods' in late Roman Britain"
demo_002,Uley Shrine,-100,599,,pre-roman; roman; post-roman; ,"England, Gloucestershire, Uley",47.66432,-117.428031,"McCarty, M., (2015), Chapter 4.2, Religious dedications, in The Oxford Handbook of Roman Sculpture
Smith, A., (2008), The Fate of Pagan Temples in South-East Britain, in Ritual Landsacpes of South-East Britain
Sparey-Green, (1987)
Woodward, Leach, (1993), The Uley Shrines: Excavation of a Ritual Complex on West Hill, Uley, Gloucestershire
Cleary, S., (2015), The ‘end of the gods' in late Roman Britain"
demo_002,Uley Shrine,-100,599,,pre-roman; roman; post-roman; ,"England, Gloucestershire, Uley",47.66432,-117.428031,"McCarty, M., (2015), Chapter 4.2, Religious dedications, in The Oxford Handbook of Roman Sculpture
Smith, A., (2008), The Fate of Pagan Temples in South-East Britain, in Ritual Landsacpes of South-East Britain
Sparey-Green, (1987)
Woodward, Leach, (1993), The Uley Shrines: Excavation of a Ritual Complex on West Hill, Uley, Gloucestershire
Cleary, S., (2015), The ‘end of the gods' in late Roman Britain"
demo_002,Uley Shrine,-100,599,,pre-roman; roman; post-roman; ,"England, Gloucestershire, Uley",47.66432,-117.428031,"McCarty, M., (2015), Chapter 4.2, Religious dedications, in The Oxford Handbook of Roman Sculpture
Smith, A., (2008), The Fate of Pagan Temples in South-East Britain, in Ritual Landsacpes of South-East Britain
Sparey-Green, (1987)
Woodward, Leach, (1993), The Uley Shrines: Excavation of a Ritual Complex on West Hill, Uley, Gloucestershire
Cleary, S., (2015), The ‘end of the gods' in late Roman Britain"
demo_002,Uley Shrine,-100,599,,pre-roman; roman; post-roman; ,"England, Gloucestershire, Uley",47.66432,-117.428031,"McCarty, M., (2015), Chapter 4.2, Religious dedications, in The Oxford Handbook of Roman Sculpture
Smith, A., (2008), The Fate of Pagan Temples in South-East Britain, in Ritual Landsacpes of South-East Britain
Sparey-Green, (1987)
Woodward, Leach, (1993), The Uley Shrines: Excavation of a Ritual Complex on West Hill, Uley, Gloucestershire
Cleary, S., (2015), The ‘end of the gods' in late Roman Britain"
demo_002,Uley Shrine,-100,599,,pre-roman; roman; post-roman; ,"England, Gloucestershire, Uley",47.66432,-117.428031,"McCarty, M., (2015), Chapter 4.2, Religious dedications, in The Oxford Handbook of Roman Sculpture
Smith, A., (2008), The Fate of Pagan Temples in South-East Britain, in Ritual Landsacpes of South-East Britain
Sparey-Green, (1987)
Woodward, Leach, (1993), The Uley Shrines: Excavation of a Ritual Complex on West Hill, Uley, Gloucestershire
Cleary, S., (2015), The ‘end of the gods' in late Roman Britain"
demo_002,Uley Shrine,-100,599,,pre-roman; roman; post-roman; ,"England, Gloucestershire, Uley",47.66432,-117.428031,"McCarty, M., (2015), Chapter 4.2, Religious dedications, in The Oxford Handbook of Roman Sculpture
Smith, A., (2008), The Fate of Pagan Temples in South-East Britain, in Ritual Landsacpes of South-East Britain
Sparey-Green, (1987)
Woodward, Leach, (1993), The Uley Shrines: Excavation of a Ritual Complex on West Hill, Uley, Gloucestershire
Cleary, S., (2015), The ‘end of the gods' in late Roman Britain"
demo_002,Uley Shrine,-100,599,,pre-roman; roman; post-roman; ,"England, Gloucestershire, Uley",47.66432,-117.428031,"McCarty, M., (2015), Chapter 4.2, Religious dedications, in The Oxford Handbook of Roman Sculpture
Smith, A., (2008), The Fate of Pagan Temples in South-East Britain, in Ritual Landsacpes of South-East Britain
Sparey-Green, (1987)
Woodward, Leach, (1993), The Uley Shrines: Excavation of a Ritual Complex on West Hill, Uley, Gloucestershire
Cleary, S., (2015), The ‘end of the gods' in late Roman Britain"
demo_002,Uley Shrine,-100,599,,pre-roman; roman; post-roman; ,"England, Gloucestershire, Uley",47.66432,-117.428031,"McCarty, M., (2015), Chapter 4.2, Religious dedications, in The Oxford Handbook of Roman Sculpture
Smith, A., (2008), The Fate of Pagan Temples in South-East Britain, in Ritual Landsacpes of South-East Britain
Sparey-Green, (1987)
Woodward, Leach, (1993), The Uley Shrines: Excavation of a Ritual Complex on West Hill, Uley, Gloucestershire
Cleary, S., (2015), The ‘end of the gods' in late Roman Britain"
demo_002,Uley Shrine,-100,599,,pre-roman; roman; post-roman; ,"England, Gloucestershire, Uley",47.66432,-117.428031,"McCarty, M., (2015), Chapter 4.2, Religious dedications, in The Oxford Handbook of Roman Sculpture
Smith, A., (2008), The Fate of Pagan Temples in South-East Britain, in Ritual Landsacpes of South-East Britain
Sparey-Green, (1987)
Woodward, Leach, (1993), The Uley Shrines: Excavation of a Ritual Complex on West Hill, Uley, Gloucestershire
Cleary, S., (2015), The ‘end of the gods' in late Roman Britain"
demo_002,Uley Shrine,-100,599,,pre-roman; roman; post-roman; ,"England, Gloucestershire, Uley",47.66432,-117.428031,"McCarty, M., (2015), Chapter 4.2, Religious dedications, in The Oxford Handbook of Roman Sculpture
Smith, A., (2008), The Fate of Pagan Temples in South-East Britain, in Ritual Landsacpes of South-East Britain
Sparey-Green, (1987)
Woodward, Leach, (1993), The Uley Shrines: Excavation of a Ritual Complex on West Hill, Uley, Gloucestershire
Cleary, S., (2015), The ‘end of the gods' in late Roman Britain"
demo_002,Uley Shrine,-100,599,,pre-roman; roman; post-roman; ,"England, Gloucestershire, Uley",47.66432,-117.428031,"McCarty, M., (2015), Chapter 4.2, Religious dedications, in The Oxford Handbook of Roman Sculpture
Smith, A., (2008), The Fate of Pagan Temples in South-East Britain, in Ritual Landsacpes of South-East Britain
Sparey-Green, (1987)
Woodward, Leach, (1993), The Uley Shrines: Excavation of a Ritual Complex on West Hill, Uley, Gloucestershire
Cleary, S., (2015), The ‘end of the gods' in late Roman Britain"
demo_002,Uley Shrine,-100,599,,pre-roman; roman; post-roman; ,"England, Gloucestershire, Uley",47.66432,-117.428031,"McCarty, M., (2015), Chapter 4.2, Religious dedications, in The Oxford Handbook of Roman Sculpture
Smith, A., (2008), The Fate of Pagan Temples in South-East Britain, in Ritual Landsacpes of South-East Britain
Sparey-Green, (1987)
Woodward, Leach, (1993), The Uley Shrines: Excavation of a Ritual Complex on West Hill, Uley, Gloucestershire
Cleary, S., (2015), The ‘end of the gods' in late Roman Britain"
demo_002,Uley Shrine,-100,599,,pre-roman; roman; post-roman; ,"England, Gloucestershire, Uley",47.66432,-117.428031,"McCarty, M., (2015), Chapter 4.2, Religious dedications, in The Oxford Handbook of Roman Sculpture
Smith, A., (2008), The Fate of Pagan Temples in South-East Britain, in Ritual Landsacpes of South-East Britain
Sparey-Green, (1987)
Woodward, Leach, (1993), The Uley Shrines: Excavation of a Ritual Complex on West Hill, Uley, Gloucestershire
Cleary, S., (2015), The ‘end of the gods' in late Roman Britain"
demo_002,Uley Shrine,-100,599,,pre-roman; roman; post-roman; ,"England, Gloucestershire, Uley",47.66432,-117.428031,"McCarty, M., (2015), Chapter 4.2, Religious dedications, in The Oxford Handbook of Roman Sculpture
Smith, A., (2008), The Fate of Pagan Temples in South-East Britain, in Ritual Landsacpes of South-East Britain
Sparey-Green, (1987)
Woodward, Leach, (1993), The Uley Shrines: Excavation of a Ritual Complex on West Hill, Uley, Gloucestershire
Cleary, S., (2015), The ‘end of the gods' in late Roman Britain"
demo_002,Uley Shrine,-100,599,,pre-roman; roman; post-roman; ,"England, Gloucestershire, Uley",47.66432,-117.428031,"McCarty, M., (2015), Chapter 4.2, Religious dedications, in The Oxford Handbook of Roman Sculpture
Smith, A., (2008), The Fate of Pagan Temples in South-East Britain, in Ritual Landsacpes of South-East Britain
Sparey-Green, (1987)
Woodward, Leach, (1993), The Uley Shrines: Excavation of a Ritual Complex on West Hill, Uley, Gloucestershire
Cleary, S., (2015), The ‘end of the gods' in late Roman Britain"
demo_002,Uley Shrine,-100,599,,pre-roman; roman; post-roman; ,"England, Gloucestershire, Uley",47.66432,-117.428031,"McCarty, M., (2015), Chapter 4.2, Religious dedications, in The Oxford Handbook of Roman Sculpture
Smith, A., (2008), The Fate of Pagan Temples in South-East Britain, in Ritual Landsacpes of South-East Britain
Sparey-Green, (1987)
Woodward, Leach, (1993), The Uley Shrines: Excavation of a Ritual Complex on West Hill, Uley, Gloucestershire
Cleary, S., (2015), The ‘end of the gods' in late Roman Britain"
demo_002,Uley Shrine,-100,599,,pre-roman; roman; post-roman; ,"England, Gloucestershire, Uley",47.66432,-117.428031,"McCarty, M., (2015), Chapter 4.2, Religious dedications, in The Oxford Handbook of Roman Sculpture
Smith, A., (2008), The Fate of Pagan Temples in South-East Britain, in Ritual Landsacpes of South-East Britain
Sparey-Green, (1987)
Woodward, Leach, (1993), The Uley Shrines: Excavation of a Ritual Complex on West Hill, Uley, Gloucestershire
Cleary, S., (2015), The ‘end of the gods' in late Roman Britain"
demo_002,Uley Shrine,-100,599,,pre-roman; roman; post-roman; ,"England, Gloucestershire, Uley",47.66432,-117.428031,"McCarty, M., (2015), Chapter 4.2, Religious dedications, in The Oxford Handbook of Roman Sculpture
Smith, A., (2008), The Fate of Pagan Temples in South-East Britain, in Ritual Landsacpes of South-East Britain
Sparey-Green, (1987)
Woodward, Leach, (1993), The Uley Shrines: Excavation of a Ritual Complex on West Hill, Uley, Gloucestershire
Cleary, S., (2015), The ‘end of the gods' in late Roman Britain"
demo_002,Uley Shrine,-100,599,,pre-roman; roman; post-roman; ,"England, Gloucestershire, Uley",47.66432,-117.428031,"McCarty, M., (2015), Chapter 4.2, Religious dedications, in The Oxford Handbook of Roman Sculpture
Smith, A., (2008), The Fate of Pagan Temples in South-East Britain, in Ritual Landsacpes of South-East Britain
Sparey-Green, (1987)
Woodward, Leach, (1993), The Uley Shrines: Excavation of a Ritual Complex on West Hill, Uley, Gloucestershire
Cleary, S., (2015), The ‘end of the gods' in late Roman Britain"
demo_002,Uley Shrine,-100,599,,pre-roman; roman; post-roman; ,"England, Gloucestershire, Uley",47.66432,-117.428031,"McCarty, M., (2015), Chapter 4.2, Religious dedications, in The Oxford Handbook of Roman Sculpture
Smith, A., (2008), The Fate of Pagan Temples in South-East Britain, in Ritual Landsacpes of South-East Britain
Sparey-Green, (1987)
Woodward, Leach, (1993), The Uley Shrines: Excavation of a Ritual Complex on West Hill, Uley, Gloucestershire
Cleary, S., (2015), The ‘end of the gods' in late Roman Britain"
demo_002,Uley Shrine,-100,599,,pre-roman; roman; post-roman; ,"England, Gloucestershire, Uley",47.66432,-117.428031,"McCarty, M., (2015), Chapter 4.2, Religious dedications, in The Oxford Handbook of Roman Sculpture
Smith, A., (2008), The Fate of Pagan Temples in South-East Britain, in Ritual Landsacpes of South-East Britain
Sparey-Green, (1987)
Woodward, Leach, (1993), The Uley Shrines: Excavation of a Ritual Complex on West Hill, Uley, Gloucestershire
Cleary, S., (2015), The ‘end of the gods' in late Roman Britain"
demo_002,Uley Shrine,-100,599,,pre-roman; roman; post-roman; ,"England, Gloucestershire, Uley",47.66432,-117.428031,"McCarty, M., (2015), Chapter 4.2, Religious dedications, in The Oxford Handbook of Roman Sculpture
Smith, A., (2008), The Fate of Pagan Temples in South-East Britain, in Ritual Landsacpes of South-East Britain
Sparey-Green, (1987)
Woodward, Leach, (1993), The Uley Shrines: Excavation of a Ritual Complex on West Hill, Uley, Gloucestershire
Cleary, S., (2015), The ‘end of the gods' in late Roman Britain"
demo_002,Uley Shrine,-100,599,,pre-roman; roman; post-roman; ,"England, Gloucestershire, Uley",47.66432,-117.428031,"McCarty, M., (2015), Chapter 4.2, Religious dedications, in The Oxford Handbook of Roman Sculpture
Smith, A., (2008), The Fate of Pagan Temples in South-East Britain, in Ritual Landsacpes of South-East Britain
Sparey-Green, (1987)
Woodward, Leach, (1993), The Uley Shrines: Excavation of a Ritual Complex on West Hill, Uley, Gloucestershire
Cleary, S., (2015), The ‘end of the gods' in late Roman Britain"
demo_002,Uley Shrine,-100,599,,pre-roman; roman; post-roman; ,"England, Gloucestershire, Uley",47.66432,-117.428031,"McCarty, M., (2015), Chapter 4.2, Religious dedications, in The Oxford Handbook of Roman Sculpture
Smith, A., (2008), The Fate of Pagan Temples in South-East Britain, in Ritual Landsacpes of South-East Britain
Sparey-Green, (1987)
Woodward, Leach, (1993), The Uley Shrines: Excavation of a Ritual Complex on West Hill, Uley, Gloucestershire
Cleary, S., (2015), The ‘end of the gods' in late Roman Britain"
demo_002,Uley Shrine,-100,599,,pre-roman; roman; post-roman; ,"England, Gloucestershire, Uley",47.66432,-117.428031,"McCarty, M., (2015), Chapter 4.2, Religious dedications, in The Oxford Handbook of Roman Sculpture
Smith, A., (2008), The Fate of Pagan Temples in South-East Britain, in Ritual Landsacpes of South-East Britain
Sparey-Green, (1987)
Woodward, Leach, (1993), The Uley Shrines: Excavation of a Ritual Complex on West Hill, Uley, Gloucestershire
Cleary, S., (2015), The ‘end of the gods' in late Roman Britain"
demo_002,Uley Shrine,-100,599,,pre-roman; roman; post-roman; ,"England, Gloucestershire, Uley",47.66432,-117.428031,"McCarty, M., (2015), Chapter 4.2, Religious dedications, in The Oxford Handbook of Roman Sculpture
Smith, A., (2008), The Fate of Pagan Temples in South-East Britain, in Ritual Landsacpes of South-East Britain
Sparey-Green, (1987)
Woodward, Leach, (1993), The Uley Shrines: Excavation of a Ritual Complex on West Hill, Uley, Gloucestershire
Cleary, S., (2015), The ‘end of the gods' in late Roman Britain"
